game_id,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,opp_id,opp_fran,elo_i,opp_elo_i,game_result
199911020CHH,2000,11/2/1999,1,0,CHH,Pelicans,ORL,Magic,1547.1558,1539.5251,W
199911020DAL,2000,11/2/1999,1,0,DAL,Mavericks,GSW,Warriors,1442.5089,1432.4757,W
199911020DEN,2000,11/2/1999,1,0,DEN,Nuggets,PHO,Suns,1337.7113,1540.8169,W
199911020HOU,2000,11/2/1999,1,0,HOU,Rockets,MIL,Bucks,1507.2517,1508.7505,L
199911020LAC,2000,11/2/1999,1,0,LAC,Clippers,SEA,Thunder,1347.7274,1483.7173,L
199911020MIA,2000,11/2/1999,1,0,MIA,Heat,DET,Pistons,1565.5476,1569.7031,W
199911020NJN,2000,11/2/1999,1,0,NJN,Nets,IND,Pacers,1459.8492,1615.7559,L
199911020NYK,2000,11/2/1999,1,0,NYK,Knicks,CLE,Cavaliers,1591.536,1468.3152,W
199911020SAS,2000,11/2/1999,1,0,SAS,Spurs,PHI,Sixers,1692.9319,1542.058,W
199911020TOR,2000,11/2/1999,1,0,TOR,Raptors,BOS,Celtics,1454.9797,1466.9823,L
199911020UTA,2000,11/2/1999,1,0,UTA,Jazz,LAL,Lakers,1593.3601,1559.0149,L
199911020VAN,2000,11/2/1999,1,0,VAN,Grizzlies,POR,Trailblazers,1290.4038,1569.1449,L
199911020WAS,2000,11/2/1999,1,0,WAS,Wizards,ATL,Hawks,1443.4106,1549.5839,W
199911030BOS,2000,11/3/1999,2,0,BOS,Celtics,WAS,Wizards,1483.4318,1452.0154,W
199911030CHI,2000,11/3/1999,1,0,CHI,Bulls,NYK,Knicks,1392.7284,1594.8749,L
199911030CLE,2000,11/3/1999,2,0,CLE,Cavaliers,NJN,Nets,1464.9763,1453.0813,W
199911030LAL,2000,11/3/1999,2,0,LAL,Lakers,VAN,Grizzlies,1571.9141,1282.8573,W
199911030ORL,2000,11/3/1999,2,0,ORL,Magic,DET,Pistons,1531.2386,1564.4536,W
199911030POR,2000,11/3/1999,2,0,POR,Trailblazers,LAC,Clippers,1576.6914,1337.5844,W
199911040ATL,2000,11/4/1999,2,0,ATL,Hawks,MIL,Bucks,1540.9791,1518.4995,L
199911040CHH,2000,11/4/1999,2,0,CHH,Pelicans,IND,Pacers,1555.4423,1622.5238,W
199911040PHO,2000,11/4/1999,2,0,PHO,Suns,PHI,Sixers,1530.9352,1538.1617,W
199911040SAS,2000,11/4/1999,2,0,SAS,Spurs,GSW,Warriors,1696.8281,1425.0591,W
